Pattern_Amp_CH-1	Pattern_Amp_CH-2	Pattern_Amp_CH-3
0.603539	0.122459	0.274002
0.603766	0.122061	0.274173
0.603991	0.121656	0.274353
0.604215	0.121247	0.274538
0.604442	0.120831	0.274727
0.604675	0.120403	0.274922
0.604911	0.119963	0.275125
0.605146	0.11952	0.275334
0.605377	0.119084	0.275539
0.605601	0.118661	0.275738
0.605818	0.11825	0.275932
0.606037	0.117841	0.276121
0.606265	0.117434	0.2763
0.606485	0.117049	0.276466
0.606673	0.116714	0.276614
0.606819	0.116436	0.276746
0.606939	0.116195	0.276866
0.607048	0.115974	0.276978
0.607149	0.115767	0.277084
0.607242	0.11557	0.277189
0.607325	0.11538	0.277294
0.607397	0.1152	0.277404
0.607456	0.115022	0.277523
0.607501	0.114851	0.277648
0.607537	0.114694	0.277769
0.607567	0.114552	0.277881
0.607592	0.114419	0.277989
0.607613	0.114287	0.2781
0.607625	0.114156	0.278219
0.607618	0.114039	0.278343
0.607594	0.113941	0.278466
0.607561	0.113852	0.278587
0.607522	0.113763	0.278715
0.607462	0.11369	0.278848
0.607375	0.113646	0.27898
0.607267	0.113625	0.279108
0.607143	0.113623	0.279233
0.607002	0.113636	0.279362
0.60685	0.113655	0.279495
0.606694	0.113675	0.279631
0.60654	0.113689	0.279771
0.606386	0.113695	0.279919
0.606221	0.113705	0.280075
0.606038	0.113729	0.280234
0.605841	0.113762	0.280397
0.605644	0.113793	0.280563
0.605463	0.113811	0.280726
0.605299	0.113814	0.280888
0.605135	0.113809	0.281057
0.604974	0.113798	0.281227
0.604849	0.113774	0.281377
0.60479	0.113724	0.281486
0.604805	0.113644	0.281551
0.60489	0.113534	0.281576
0.605032	0.113399	0.28157
0.605214	0.113244	0.281542
0.605419	0.113073	0.281508
0.605629	0.11289	0.281481
0.605832	0.112707	0.281461
0.606021	0.112535	0.281444
0.60619	0.112384	0.281426
0.60634	0.112261	0.281399
0.60648	0.112169	0.281351
0.606628	0.11209	0.281281
0.606793	0.112008	0.281199
0.606963	0.111928	0.281109
0.607125	0.111859	0.281017
0.607279	0.111798	0.280923
0.607431	0.111742	0.280827
0.607577	0.111694	0.280729
0.607709	0.111659	0.280632
0.607818	0.11165	0.280532
0.607897	0.11168	0.280423
0.607948	0.111743	0.280309
0.607989	0.111814	0.280197
0.60804	0.111872	0.280088
0.608098	0.111916	0.279986
0.608145	0.111952	0.279904
0.608175	0.111991	0.279834
0.608186	0.112048	0.279766
0.608169	0.112122	0.279709
0.608125	0.112206	0.279669
0.608062	0.112307	0.279631
0.607981	0.112436	0.279583
0.607891	0.112576	0.279533
0.607802	0.11271	0.279488
0.60772	0.112833	0.279447
0.607645	0.112949	0.279406
0.607584	0.113052	0.279364
0.607537	0.113138	0.279325
0.607507	0.113204	0.279289
0.60749	0.113252	0.279258
0.60748	0.11329	0.279229
0.607468	0.113328	0.279204
0.607453	0.113367	0.27918
0.607445	0.113399	0.279156
0.607444	0.113426	0.27913
0.607443	0.11345	0.279106
0.607444	0.113465	0.279091
0.440321	0.497684	0.0619955
0.440088	0.497895	0.0620167
0.439847	0.498113	0.0620395
0.439601	0.498338	0.0620617
0.439352	0.498565	0.0620831
0.439104	0.498792	0.0621046
0.438856	0.499016	0.0621283
0.438604	0.499241	0.062155
0.438346	0.499472	0.0621823
0.438077	0.499715	0.0622073
0.437792	0.499979	0.0622289
0.437493	0.500258	0.0622491
0.437186	0.500545	0.0622699
0.436874	0.500834	0.0622914
0.436567	0.501121	0.0623119
0.436276	0.501394	0.0623297
0.436005	0.501651	0.0623442
0.435749	0.501895	0.0623565
0.435506	0.502125	0.0623688
0.435267	0.502351	0.0623817
0.435022	0.502584	0.0623938
0.434777	0.50282	0.0624034
0.434545	0.503045	0.0624103
0.434333	0.503251	0.0624159
0.43414	0.503439	0.0624209
0.433957	0.503618	0.0624252
0.433777	0.503794	0.0624285
0.433601	0.50397	0.0624296
0.433431	0.504141	0.0624273
0.433276	0.504301	0.0624226
0.433136	0.504446	0.0624176
0.433008	0.504579	0.0624134
0.432887	0.504703	0.0624094
0.432776	0.50482	0.0624048
0.432673	0.504928	0.0623992
0.432577	0.50503	0.062393
0.432482	0.505131	0.0623872
0.432389	0.505228	0.0623824
0.432302	0.50532	0.0623782
0.432217	0.505409	0.062374
0.432135	0.505495	0.0623698
0.432059	0.505576	0.062365
0.431992	0.505649	0.0623588
0.431931	0.505718	0.062351
0.431877	0.505781	0.0623415
0.431832	0.505838	0.0623297
0.431795	0.50589	0.0623147
0.431765	0.505938	0.0622973
0.431742	0.505979	0.0622792
0.431724	0.506015	0.0622608
0.431707	0.506051	0.0622421
0.431688	0.506089	0.0622232
0.431666	0.506129	0.062205
0.431645	0.506167	0.0621883
0.431622	0.506202	0.0621763
0.431594	0.506231	0.0621742
0.431559	0.506254	0.0621865
0.431516	0.50627	0.0622137
0.431466	0.506281	0.062253
0.431408	0.506293	0.0622995
0.431341	0.506309	0.0623499
0.431267	0.506327	0.0624063
0.431186	0.50634	0.0624744
0.431099	0.506342	0.0625584
0.43101	0.50633	0.0626602
0.430916	0.506305	0.0627791
0.430817	0.506269	0.0629137
0.430715	0.506223	0.0630617
0.430609	0.506173	0.0632178
0.430497	0.506126	0.0633761
0.430383	0.506085	0.0635325
0.430271	0.506044	0.0636854
0.430163	0.506002	0.0638352
0.43005	0.505968	0.063982
0.429914	0.505962	0.0641244
0.429733	0.506008	0.0642597
0.429492	0.506123	0.0643856
0.429213	0.506283	0.0645047
0.428909	0.506473	0.0646185
0.428551	0.506729	0.0647208
0.428135	0.507054	0.0648111
0.427693	0.507411	0.0648964
0.427236	0.507783	0.064981
0.426768	0.508167	0.0650658
0.42628	0.508571	0.0651497
0.425772	0.508997	0.0652313
0.425264	0.509425	0.0653112
0.42477	0.509841	0.0653895
0.424292	0.510241	0.0654669
0.423825	0.51063	0.0655452
0.423362	0.511013	0.0656247
0.42291	0.511386	0.0657038
0.422476	0.511743	0.0657812
0.422063	0.51208	0.0658576
0.421663	0.512402	0.0659349
0.421268	0.512718	0.066014
0.420878	0.513028	0.0660939
0.420503	0.513324	0.066173
0.420147	0.513603	0.0662499
